Number of Calls,Time / Seconds,Time Per Call / Seconds,Function
1,5782.337,5782.337,/Applications/PyCharm.app/Contents/plugins/python/helpers/profiler/prof_util.py:14(execfile)
1,5782.336,5782.336,/Users/joshduffield/Documents/UCL/ISS/Python/ISS/main.py:1(<module>)
1,5782.336,5782.336,{built-in method builtins.exec}
1,5780.317,5780.317,coppafish/pipeline/run.py:14(run_pipeline)
1,4560.75,4560.75,coppafish/pipeline/run.py:240(run_omp)
1,4552.185,4552.185,coppafish/pipeline/omp.py:20(call_spots_omp)
209,1907.405,9.126,coppafish/spot_colors/base_optimised.py:62(get_spot_colors)
196,1600.851,8.168,coppafish/omp/coefs_optimised.py:352(get_all_coefs)
32181,1544.686,0.048,python3.9/site-packages/jax/_src/traceback_util.py:158(reraise_with_filtered_traceback)
32180,1544.637,0.048,python3.9/site-packages/jax/_src/api.py:508(cache_miss)
32158,1543.593,0.048,python3.9/site-packages/jax/core.py:1835(bind)
32157,1543.531,0.048,python3.9/site-packages/jax/core.py:1846(call_bind)
32147,1543.068,0.048,python3.9/site-packages/jax/core.py:682(process_call)
32146,1543.011,0.048,python3.9/site-packages/jax/_src/dispatch.py:192(_xla_call_impl)
53392,961.062,0.018,python3.9/site-packages/jax/_src/dispatch.py:243(_xla_callable_uncached)
492,930.698,1.892,coppafish/find_spots/detect_optimised.py:10(detect_spots)
84445,928.89,0.011,python3.9/site-packages/jax/_src/profiler.py:309(wrapper)
452970,905.941,0.002,python3.9/site-packages/jax/_src/dispatch.py:703(_execute_compiled)
10344,848.205,0.082,coppafish/utils/npy.py:68(load_tile)
10351,797,0.077,python3.9/site-packages/numpy/core/memmap.py:333(__getitem__)
5,790.333,158.067,coppafish/omp/spots.py:256(get_spots)
32273,742.284,0.023,python3.9/site-packages/jax/linear_util.py:272(memoized_fun)
0,714.005,0,{built-in method numpy.core._multiarray_umath.implement_array_function}
54161,541.614,0.01,python3.9/site-packages/jax/_src/dispatch.py:802(compile)
33833,541.33,0.016,python3.9/site-packages/jax/_src/dispatch.py:886(from_xla_computation)
33690,539.038,0.016,python3.9/site-packages/jax/_src/dispatch.py:835(compile_or_get_cached)
34865,522.976,0.015,python3.9/site-packages/jax/_src/dispatch.py:814(backend_compile)
0,437.484,0,python3.9/site-packages/jax/core.py:324(bind)
1,431.183,431.183,coppafish/pipeline/run.py:103(run_find_spots)
1,430.357,430.357,coppafish/pipeline/find_spots.py:8(find_spots)
0,428.917,0,python3.9/site-packages/jax/core.py:329(bind_with_trace)
50567,404.537,0.008,python3.9/site-packages/jax/_src/dispatch.py:263(lower_xla_callable)
56323,394.264,0.007,python3.9/site-packages/scipy/spatial/_kdtree.py:346(query)
56316,394.211,0.007,{function KDTree.query at 0x113f2d0d0}
