Number of Calls,Time / Seconds,Time Per Call / Seconds,Function
1,79738.299,79738.299,{built-in method builtins.exec}
1,79738.299,79738.299,/Applications/PyCharm.app/Contents/plugins/python/helpers/profiler/prof_util.py:14(execfile)
1,79738.28,79738.28,/Users/joshduffield/Documents/UCL/ISS/Python/ISS/main.py:1(<module>)
1,79736.607,79736.607,coppafish/pipeline/run.py:14(run_pipeline)
1,75224.02,75224.02,coppafish/pipeline/run.py:240(run_omp)
1,75215.259,75215.259,coppafish/pipeline/omp.py:20(call_spots_omp)
661,66176.089,100.115,coppafish/utils/morphology/filter.py:73(imfilter_coords)
661,66056.835,99.935,coppafish/utils/morphology/filter.py:9(imfilter)
661,66056.803,99.935,python3.9/site-packages/scipy/ndimage/_filters.py:693(correlate)
661,66056.799,99.935,python3.9/site-packages/scipy/ndimage/_filters.py:640(_correlate_or_convolve)
661,66056.744,99.935,{built-in method scipy.ndimage._nd_image.correlate}
5,65536.326,13107.265,coppafish/omp/spots.py:256(get_spots)
365,64479.368,176.656,coppafish/omp/spots.py:12(count_spot_neighbours)
209,4947.474,23.672,coppafish/spot_colors/base.py:54(get_spot_colors)
196,4202.781,21.443,coppafish/omp/coefs.py:233(get_all_coefs)
1,3711.361,3711.361,coppafish/pipeline/run.py:103(run_find_spots)
1,3710.538,3710.538,coppafish/pipeline/find_spots.py:8(find_spots)
10242,3144.383,0.307,coppafish/spot_colors/base.py:8(apply_transform)
492,3000.834,6.099,coppafish/find_spots/detect.py:7(detect_spots)
0,2678.693,0,{built-in method numpy.core._multiarray_umath.implement_array_function}
1926,2197.228,1.141,coppafish/omp/coefs.py:8(fit_coefs)
492,2005.017,4.075,coppafish/utils/morphology/base.py:171(dilate)
492,2004.998,4.075,python3.9/site-packages/scipy/ndimage/_morphology.py:1224(grey_dilation)
492,2004.984,4.075,python3.9/site-packages/scipy/ndimage/_filters.py:1080(_min_or_max_filter)
1476,2004.936,1.358,python3.9/site-packages/scipy/ndimage/_filters.py:1023(maximum_filter1d)
1476,2004.909,1.358,{built-in method scipy.ndimage._nd_image.min_or_max_filter1d}
4,1783.689,445.922,coppafish/find_spots/base.py:36(get_isolated)
0,1604.769,0,<__array_function__ internals>:177(lstsq)
0,1507.37,0,python3.9/site-packages/numpy/linalg/linalg.py:2165(lstsq)
196,1176.988,6.005,coppafish/omp/coefs.py:120(get_best_gene_first_iter)
2122,1139.26,0.537,coppafish/omp/coefs.py:77(get_best_gene_base)
2131,1016.67,0.477,coppafish/call_spots/dot_product.py:6(dot_product_score)
10427,938.4,0.09,coppafish/utils/npy.py:68(load_tile)
0,863.3,0,{method 'reduce' of 'numpy.ufunc' objects}
10381,778.558,0.075,python3.9/site-packages/numpy/core/memmap.py:333(__getitem__)
22784,615.18,0.027,{method 'all' of 'numpy.ndarray' objects}
22781,615.088,0.027,python3.9/site-packages/numpy/core/_methods.py:60(_all)
197,415.573,2.11,coppafish/call_spots/background.py:6(fit_background)
56384,394.687,0.007,python3.9/site-packages/scipy/spatial/_kdtree.py:346(query)
56376,394.634,0.007,{function KDTree.query at 0x11a131dc0}
31,391.471,12.628,coppafish/stitch/shift.py:318(compute_shift)
1,370.943,370.943,coppafish/pipeline/run.py:158(run_register)
1,349.132,349.132,coppafish/pipeline/register_initial.py:9(register_initial)
11861,272.797,0.023,<__array_function__ internals>:177(pad)
11856,272.677,0.023,python3.9/site-packages/numpy/lib/arraypad.py:529(pad)
11718,246.071,0.021,python3.9/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
1929,243.085,0.126,coppafish/omp/coefs.py:168(get_best_gene)
0,242.741,0,{method 'astype' of 'numpy.ndarray' objects}
1,236.152,236.152,coppafish/pipeline/run.py:193(run_reference_spots)
93,232.966,2.505,coppafish/stitch/shift.py:133(get_best_shift_3d)
