Number of Calls,Time / Seconds,Time Per Call / Seconds,Function
1,10365.501,10365.501,/Applications/PyCharm.app/Contents/plugins/python/helpers/profiler/prof_util.py:14(execfile)
1,10365.5,10365.5,/Users/joshduffield/Documents/UCL/ISS/Python/ISS/main.py:1(<module>)
1,10365.5,10365.5,{built-in method builtins.exec}
1,10363.883,10363.883,coppafish/pipeline/run.py:11(run_pipeline)
1,5656.298,5656.298,coppafish/pipeline/run.py:230(run_omp)
1,5608.117,5608.117,coppafish/pipeline/omp.py:15(call_spots_omp)
1,3415.241,3415.241,coppafish/pipeline/run.py:62(run_extract)
1,3414.584,3414.584,coppafish/pipeline/extract_run.py:10(extract_and_filter)
209,2200.738,10.53,coppafish/spot_colors/base.py:96(get_spot_colors_jax)
33575,2182.356,0.065,python3.8/site-packages/jax/_src/traceback_util.py:158(reraise_with_filtered_traceback)
33574,2182.296,0.065,python3.8/site-packages/jax/_src/api.py:459(cache_miss)
33556,2181.11,0.065,python3.8/site-packages/jax/core.py:1764(bind)
33554,2181.04,0.065,python3.8/site-packages/jax/core.py:1775(call_bind)
33546,2180.519,0.065,python3.8/site-packages/jax/core.py:677(process_call)
33545,2180.456,0.065,python3.8/site-packages/jax/_src/dispatch.py:176(_xla_call_impl)
196,1963.385,10.017,coppafish/omp/base.py:352(get_all_coefs)
0,1890.046,0,{built-in method numpy.core._multiarray_umath.implement_array_function}
369262,1477.049,0.004,python3.8/site-packages/jax/_src/dispatch.py:603(_execute_compiled)
3445,1278.028,0.371,python3.8/site-packages/numpy/lib/format.py:627(write_array)
10383,1110.938,0.107,coppafish/utils/npy.py:65(load_tile)
54504,1090.073,0.02,python3.8/site-packages/jax/_src/dispatch.py:228(_xla_callable_uncached)
200,1068.807,5.344,coppafish/utils/npy.py:10(save_tile)
88349,1060.193,0.012,python3.8/site-packages/jax/_src/profiler.py:203(wrapper)
205,1034.981,5.049,<__array_function__ internals>:2(save)
205,1034.979,5.049,python3.8/site-packages/numpy/lib/npyio.py:458(save)
205,1034.777,5.048,{method 'tofile' of 'numpy.ndarray' objects}
492,1034.49,2.103,coppafish/find_spots/base.py:98(detect_spots)
10419,1031.472,0.099,python3.8/site-packages/numpy/core/memmap.py:333(__getitem__)
202,900.069,4.456,coppafish/utils/morphology.py:92(convolve_2d)
5,890.366,178.073,coppafish/omp/spots.py:247(get_spots)
33411,868.674,0.026,python3.8/site-packages/jax/linear_util.py:272(memoized_fun)
202,856.667,4.241,{filter2D}
201,694.385,3.455,coppafish/utils/morphology.py:196(imfilter)
201,694.354,3.454,python3.8/site-packages/scipy/ndimage/filters.py:693(correlate)
201,694.353,3.454,python3.8/site-packages/scipy/ndimage/filters.py:640(_correlate_or_convolve)
201,694.313,3.454,{built-in method scipy.ndimage._nd_image.correlate}
56630,679.555,0.012,python3.8/site-packages/jax/_src/dispatch.py:698(compile)
35753,679.298,0.019,python3.8/site-packages/jax/_src/dispatch.py:782(from_xla_computation)
35630,676.972,0.019,python3.8/site-packages/jax/_src/dispatch.py:731(compile_or_get_cached)
34793,661.072,0.019,python3.8/site-packages/jax/_src/dispatch.py:709(backend_compile)
214,521.29,2.436,coppafish/utils/nd2.py:116(get_image)
0,499.93,0,python3.8/site-packages/jax/core.py:320(bind)
0,491.416,0,python3.8/site-packages/jax/core.py:325(bind_with_trace)
1,476.207,476.207,coppafish/pipeline/run.py:92(run_find_spots)
1,474.99,474.99,coppafish/pipeline/find_spots.py:8(find_spots)
10652,426.078,0.04,python3.8/site-packages/slicerator/__init__.py:184(__getitem__)
10643,425.727,0.04,python3.8/site-packages/pims/base_frames.py:95(__getitem__)
10643,425.706,0.04,python3.8/site-packages/pims/base_frames.py:571(get_frame)
10630,425.194,0.04,python3.8/site-packages/nd2reader/reader.py:72(get_frame_2D)
10629,425.177,0.04,python3.8/site-packages/nd2reader/parser.py:81(get_image_by_attributes)
410761,410.761,0.001,python3.8/site-packages/jax/core.py:674(process_primitive)
410489,410.489,0.001,python3.8/site-packages/jax/_src/dispatch.py:96(apply_primitive)
10721,407.387,0.038,python3.8/site-packages/nd2reader/parser.py:249(_get_raw_image_data)
56783,397.481,0.007,python3.8/site-packages/jax/_src/dispatch.py:248(lower_xla_callable)
187373,374.746,0.002,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3525(_rewriting_take)
178760,357.52,0.002,python3.8/site-packages/scipy/spatial/kdtree.py:346(query)
178693,357.386,0.002,{function KDTree.query at 0x128e72f70}
31,356.726,11.507,coppafish/stitch/shift.py:298(compute_shift)
39477,355.294,0.009,<__array_function__ internals>:2(where)
177216,354.431,0.002,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3547(_gather)
1,345.622,345.622,coppafish/pipeline/run.py:158(run_register)
1,322.06,322.06,coppafish/pipeline/register_initial.py:10(register_initial)
1029,282.888,0.275,python3.8/site-packages/scipy/sparse/coo.py:126(__init__)
2063,282.663,0.137,python3.8/site-packages/scipy/sparse/compressed.py:27(__init__)
408,279.324,0.685,{method 'nonzero' of 'numpy.ndarray' objects}
18,243.439,13.524,<__array_function__ internals>:2(savez_compressed)
