,className,IdentifiedType,color
0,Astro.1,NonNeuron,#FFFFFF
1,Astro.2,NonNeuron,#FFFFFF
2,Astro.3,NonNeuron,#FFFFFF
3,Astro.4,NonNeuron,#FFFFFF
4,Astro.5,NonNeuron,#FFFFFF
5,Cacna2d1.Lhx6.Reln,MGENGF,#994D91
6,Cacna2d1.Lhx6.Vwa5a,Ivy,#994D91
7,Cacna2d1.Ndnf.Cxcl14,CGENGF,#FF00E6
8,Cacna2d1.Ndnf.Npy,CGENGF,#FF00E6
9,Cacna2d1.Ndnf.Rgs10,CGENGF,#FF00E6
10,Calb2.Cntnap5a.Igfbp6,IS1,#BDA800
11,Calb2.Cntnap5a.Rspo3,IS1,#BDA800
12,Calb2.Cntnap5a.Vip,IS1,#BDA800
13,Calb2.Cryab,NGF/I-Stransition,#FF00E6
14,Calb2.Vip.Gpd1,IS3,#DBC70F
15,Calb2.Vip.Igfbp4,IS3,#DBC70F
16,Calb2.Vip.Nos1,IS3,#DBC70F
17,Cck.Calca,CckCxcl14-,#FF0000
18,Cck.Cxcl14.Calb1.Igfbp5,CckCxcl14+,#996E00
19,Cck.Cxcl14.Calb1.Kctd12,CckCxcl14+,#996E00
20,Cck.Cxcl14.Calb1.Tac2,CckCxcl14+,#996E00
21,Cck.Cxcl14.Calb1.Tnfaip8l3,CckCxcl14+,#996E00
22,Cck.Cxcl14.Slc17a8,CckCxcl14+,#996E00
23,Cck.Cxcl14.Vip,CckVipCxcl14+,#996E00
24,Cck.Lmo1.Npy,CckCxcl14-,#FF0000
25,Cck.Lmo1.Vip.Crh,CckVipCxcl14-,#FF0000
26,Cck.Lmo1.Vip.Fam19a2,CckVipCxcl14-,#FF0000
27,Cck.Lmo1.Vip.Tac2,CckVipCxcl14-,#FF0000
28,Cck.Lypd1,CckCalb1/Slc17a8*,#FF0000
29,Cck.Sema5a,CckCxcl14-,#FF0000
30,Choroid,NonNeuron,#FFFFFF
31,Endo,NonNeuron,#FFFFFF
32,Eryth.1,NonNeuron,#FFFFFF
33,Eryth.2,NonNeuron,#FFFFFF
34,Microglia.1,NonNeuron,#FFFFFF
35,Microglia.2,NonNeuron,#FFFFFF
36,Ntng1.Chrm2,Trilaminar,#1F663B
37,Ntng1.Rgs10,Radiatumretrohip,#3D855A
38,Ntng1.Synpr,Radiatumretrohip,#3D855A
39,Oligo.1,NonNeuron,#FFFFFF
40,Oligo.2,NonNeuron,#FFFFFF
41,Oligo.3,NonNeuron,#FFFFFF
42,Oligo.4,NonNeuron,#FFFFFF
43,Oligo.5,NonNeuron,#FFFFFF
44,Other,Other,#C0C0C0
45,PC.CA1.1,PC,#00FF00
46,PC.CA1.2,PC,#00FF00
47,PC.CA1.3,PC,#00FF00
48,PC.Other1,PCOther1,#73E500
49,PC.Other2,PCOther2,#73E500
50,Pvalb.C1ql1.Cpne5,Axo-axonic,#3A19BD
51,Pvalb.C1ql1.Npy,Axo-axonic,#3A19BD
52,Pvalb.C1ql1.Pvalb,Axo-axonic,#3A19BD
53,Pvalb.Tac1.Akr1c18,Bistratified,#5938DB
54,Pvalb.Tac1.Nr4a2,Basket,#7757FA
55,Pvalb.Tac1.Sst,Bistratified,#5938DB
56,Pvalb.Tac1.Syt2,Basket,#7757FA
57,Sst.Cryab,Unidentified,#A6A6A6
58,Sst.Erbb4.Crh,O-Bi,#0070AD
59,Sst.Erbb4.Rgs10,O-Bi,#0070AD
60,Sst.Erbb4.Th,O-Bi,#0070AD
61,Sst.Nos1,Backprojection,#3DCCFF
62,Sst.Npy.Cort,Hippocamposeptal,#1FADEB
63,Sst.Npy.Mgat4c,Hippocamposeptal,#1FADEB
64,Sst.Npy.Serpine2,Hippocamposeptal,#1FADEB
65,Sst.Npy.Zbtb20,Hippocamposeptal,#1FADEB
66,Sst.Pnoc.Calb1.Igfbp5,O/LM,#008FCC
67,Sst.Pnoc.Calb1.Pvalb,O/LM,#008FCC
68,Sst.Pnoc.Pvalb,O/LM,#008FCC
69,Vip.Crh.C1ql1,IS2,#FAE52E
70,Vip.Crh.Pcp4,IS2,#FAE52E
71,Vsmc,NonNeuron,#FFFFFF
72,Zero,Zero,#000000
