,GeneNames,ColorR,ColorG,ColorB,Symbols,napari_symbol,mpl_symbol
0,Snca,0.0,0.0,1.0,+,cross,+
1,Cplx2,0.0,0.0,1.0,.,disc,.
2,Lhx6,0.0,0.0,1.0,s,square,s
3,Col25a1,0.0,0.0,1.0,^,triangle_up,^
4,Pnoc,0.0,0.0,1.0,>,vbar,_
5,Rab3c,0.0,0.0,1.0,<,hbar,|
6,Gad1,0.0,0.0,1.0,p,star,*
7,Slc6a1,0.0,0.0,1.0,h,arrow,>
8,Th,0.0,0.7,1.0,+,cross,+
9,Crhbp,0.0,0.7,1.0,o,ring,o
10,Sst,0.0,0.7,1.0,*,clobber,$♣$
11,Npy,0.0,0.7,1.0,.,disc,.
12,Synpr,0.0,0.7,1.0,x,x,x
13,Chodl,0.0,0.7,1.0,s,square,s
14,Cort,0.0,0.7,1.0,d,diamond,d
15,Reln,0.0,0.7,1.0,^,triangle_up,^
16,Serpini1,0.0,0.7,1.0,<,hbar,|
17,Satb1,0.0,0.7,1.0,>,vbar,_
18,Grin3a,0.0,0.7,1.0,p,star,*
19,Tac1,0.359999999999999,0.2,1.0,o,ring,o
20,Pvalb,0.359999999999999,0.2,1.0,*,clobber,$♣$
21,Kcnip2,0.359999999999999,0.2,1.0,s,square,s
22,Thsd7a,0.359999999999999,0.2,1.0,d,diamond,d
23,Cox6a2,0.359999999999999,0.2,1.0,v,triangle_down,v
24,Chrm2,0.359999999999999,0.2,1.0,p,star,*
25,Id2,1.0,0.0,0.9,+,cross,+
26,Hapln1,1.0,0.0,0.9,o,ring,o
27,Gabrd,1.0,0.0,0.9,*,clobber,$♣$
28,Cryab,1.0,0.0,0.9,x,x,x
29,Kit,1.0,0.0,0.9,s,square,s
30,Ndnf,1.0,0.0,0.9,d,diamond,d
31,Nos1,1.0,0.0,0.9,^,triangle_up,^
32,Lamp5,1.0,0.0,0.9,>,vbar,_
33,Cplx3,1.0,0.0,0.9,h,arrow,>
34,Cadps2,0.6,0.36,0.0,o,ring,o
35,Cxcl14,0.6,0.36,0.0,*,clobber,$♣$
36,Ntng1,0.6,0.36,0.0,s,square,s
